,id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
1,6762810635,42491,4,2.5,7.979681302387741,8.294299608857235,1.5,0,0,5,8,7.555381944240273,6.918695219020472,1909,0,122004,52.8878,-114.47,7.81237820598861,8.294299608857235,2,51,14.151983508870947
2,6762810998,42491,5,2.75,7.976251943745623,9.15704507491796,1.5,0,0,3,8,7.976251943745623,0.0,1939,0,122004,52.8852,-114.468,7.9865049385539955,8.79497643168877,1,53,13.997832948091215
4,6762812919,42491,3,2.0,7.905072849498666,8.412054873292933,1.5,0,0,4,8,7.53955882930103,6.7226297948554485,1929,0,122006,52.9047,-114.485,7.630946580890459,8.412054873292933,1,51,13.598598798635953
5,6762813105,42491,3,2.5,7.8636512654486515,8.46611040118692,1.0,0,0,4,9,7.438971592395862,6.803505257608338,1951,0,122007,52.9133,-114.59,7.7752758464868625,8.46611040118692,1,67,13.579789490265188
6,6762813157,42491,5,3.25,8.205491613120236,9.392328539868899,2.0,0,2,3,10,8.205491613120236,0.0,2006,0,122008,52.7637,-114.05,8.108021221376747,9.32741204356202,3,72,13.573440270649085
7,6762813599,42491,3,1.75,7.714677473800927,9.266626182986775,2.0,0,0,5,8,7.346655163176539,6.53813982376767,1923,0,122006,52.9254,-114.482,7.359467638255621,9.266626182986775,3,71,13.527829818844937
8,6762813600,42491,3,2.5,7.779466967458324,8.787372988731876,1.0,0,2,4,8,7.273092595999522,6.85751406254539,1955,0,122009,52.8014,-114.598,7.606387389772652,8.787372988731876,1,73,13.527829818844937
9,6762814461,42491,4,2.25,7.696667081526462,9.328212292571072,1.5,0,0,5,7,7.170888478512505,6.803505257608338,1920,0,122010,52.9145,-114.391,7.749753406274437,9.28868933838716,2,53,13.455975814408239
11,6762815225,42491,4,2.0,7.507141079727608,8.517393171418904,1.5,0,1,3,7,7.403061091090091,5.198497031265826,1945,0,122006,52.9115,-114.459,7.630946580890459,8.517393171418904,2,69,13.384729180332174
12,6762815461,42491,4,2.0,7.327123292259293,8.732465848349879,1.5,0,0,3,7,7.327123292259293,0.0,1945,0,122006,52.908,-114.459,7.555381944240273,8.732465848349879,3,80,13.369225017834633
15,6762815748,42491,4,2.5,7.944846711001996,9.037057839832897,2.0,0,0,3,9,7.944846711001996,0.0,2014,0,122014,52.9838,-114.515,7.170888478512505,9.037057839832897,3,55,13.345508528717259
17,6762815986,42491,3,1.75,7.766840537085513,8.894533135798554,1.0,0,0,4,8,7.215975002651466,6.90875477931522,1948,0,122016,52.7574,-114.574,7.528869256642251,8.612503371220562,2,75,13.329379172803593
18,6762816059,42491,4,2.5,7.912423121473705,9.414260328322634,2.0,0,0,3,9,7.912423121473705,0.0,1991,0,122017,52.9719,-114.395,7.912423121473705,9.29403793099775,2,70,13.325305854052747
20,6762816633,42491,3,1.75,7.754052639035757,9.608646582885868,1.0,0,0,3,8,7.58629630715272,5.8888779583328805,1980,0,122019,52.8567,-114.236,7.852050207265889,9.562264046489428,1,60,13.285333904916369
21,6762817449,42491,4,2.5,8.105005537547246,8.77971129020447,2.0,0,0,3,8,8.105005537547246,0.0,2012,0,122008,52.745,-114.06,7.7752758464868625,8.517393171418904,2,80,13.22672519452875
22,6762817570,42491,4,2.5,7.57095858316901,9.259225769705994,1.0,0,0,4,7,7.039660349862076,6.68586094706836,1976,0,122005,52.913,-114.304,7.696667081526462,9.259225769705994,1,58,13.217675375388819
24,6762819227,42491,4,2.5,7.95892649305011,8.11552088154677,2.0,0,0,3,8,7.692113339595466,6.508769136971682,2004,0,122021,53.0035,-114.348,7.95892649305011,8.187855443695623,3,73,13.122265372602016
25,6762819342,42491,4,1.75,7.3783837129967145,8.761080103868347,1.0,0,0,3,8,7.030857476116121,6.154858094016418,1959,0,122022,52.931,-114.496,6.994849985833071,8.761080103868347,3,50,13.112315061750808
27,6762819463,42491,2,1.0,6.78105762593618,8.761080103868347,1.0,0,0,3,7,6.78105762593618,0.0,1938,1994,122006,52.9224,-114.512,7.201170883281678,8.761080103868347,3,66,13.102162710901053
29,6762820114,42491,5,2.5,7.701200180857446,9.175334762777368,1.0,0,0,3,8,7.2868764117507,6.621405651764134,1976,0,122017,52.9998,-114.412,7.640603826393634,9.063463176115423,3,79,13.060490101343552
